date,K-커버드형
2019-11-19,1177.31 
2019-11-18,1177.97 
2019-11-17,1177.98 
2019-11-16,1177.99 
2019-11-15,1166.94 
2019-11-14,1158.95 
2019-11-13,1166.21 
2019-11-12,1157.68 
2019-11-11,1164.73 
2019-11-10,1164.74 
2019-11-09,1164.75 
2019-11-08,1168.35 
2019-11-07,1168.77 
2019-11-06,1167.98 
2019-11-05,1162.51 
2019-11-04,1150.03 
2019-11-03,1150.05 
2019-11-02,1150.06 
2019-11-01,1142.49 
2019-10-31,1141.07 
2019-10-30,1147.06 
2019-10-29,1148.10 
2019-10-28,1145.81 
2019-10-27,1145.82 
2019-10-26,1145.84 
2019-10-25,1145.00 
2019-10-24,1143.40 
2019-10-23,1147.29 
2019-10-22,1136.56 
2019-10-21,1133.35 
2019-10-20,1133.36 
2019-10-19,1133.37 
2019-10-18,1141.49 
2019-10-17,1143.97 
2019-10-16,1138.25 
2019-10-15,1137.67 
2019-10-14,1129.21 
2019-10-13,1129.22 
2019-10-12,1129.22 
2019-10-11,1122.44 
2019-10-10,1129.63 
2019-10-09,1129.64 
2019-10-08,1118.99 
2019-10-07,1118.00 
2019-10-06,1118.01 
2019-10-05,1118.02 
2019-10-04,1121.42 
2019-10-03,1121.42 
2019-10-02,1138.95 
2019-10-01,1136.56 
2019-09-30,1130.19 
2019-09-29,1130.20 
2019-09-28,1130.21 
2019-09-27,1138.84 
2019-09-26,1137.43 
2019-09-25,1148.25 
2019-09-24,1144.20 
2019-09-23,1143.49 
2019-09-22,1143.50 
2019-09-21,1143.51 
2019-09-20,1139.03 
2019-09-19,1133.80 
2019-09-18,1129.76 
2019-09-17,1130.67 
2019-09-16,1127.29 
2019-09-15,1127.30 
2019-09-14,1127.30 
2019-09-13,1127.31 
2019-09-12,1127.32 
2019-09-11,1121.79 
2019-09-10,1118.08 
2019-09-09,1112.88 
2019-09-08,1112.88 
2019-09-07,1112.89 
2019-09-06,1109.99 
2019-09-05,1103.13 
2019-09-04,1094.42 
2019-09-03,1096.44 
2019-09-02,1096.19 
2019-09-01,1096.19 
2019-08-31,1096.20 
2019-08-30,1084.91 
2019-08-29,1087.93 
2019-08-28,1082.62 
2019-08-27,1079.69 
2019-08-26,1089.71 
2019-08-25,1089.72 
2019-08-24,1089.73 
2019-08-23,1090.29 
2019-08-22,1095.58 
2019-08-21,1094.63 
2019-08-20,1087.54 
2019-08-19,1085.44 
2019-08-18,1085.45 
2019-08-17,1085.45 
2019-08-16,1087.08 
2019-08-15,1087.09 
2019-08-14,1084.87 
2019-08-13,1088.15 
2019-08-12,1087.06 
2019-08-11,1087.07 
2019-08-10,1087.08 
2019-08-09,1082.33 
2019-08-08,1081.48 
2019-08-07,1084.98 
2019-08-06,1093.04 
2019-08-05,1104.14 
2019-08-04,1104.15 
2019-08-03,1104.16 
2019-08-02,1109.76 
2019-08-01,1111.09 
2019-07-31,1116.87 
2019-07-30,1114.41 
2019-07-29,1123.35 
2019-07-28,1123.36 
2019-07-27,1123.37 
2019-07-26,1124.38 
2019-07-25,1125.06 
2019-07-24,1130.49 
2019-07-23,1127.48 
2019-07-22,1127.51 
2019-07-21,1127.52 
2019-07-20,1127.53 
2019-07-19,1120.23 
2019-07-18,1122.07 
2019-07-17,1126.83 
2019-07-16,1123.84 
2019-07-15,1123.99 
2019-07-14,1124.00 
2019-07-13,1124.00 
2019-07-12,1121.77 
2019-07-11,1115.22 
2019-07-10,1113.50 
2019-07-09,1114.94 
2019-07-08,1127.78 
2019-07-07,1127.79 
2019-07-06,1127.80 
2019-07-05,1127.82 
2019-07-04,1122.66 
2019-07-03,1133.17 
2019-07-02,1137.10 
